t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status
6.400000,-0.000652,0.899078,-0.000000,0.000941,0,0.000015,1.569464,0.000631,1.367475,0.775771,0.417416,0.000000,1.645826,-0.219171,0,4.676920,1,chronique
6.500000,-0.000527,0.880554,-0.000000,0.000817,0,0.000015,1.542506,0.000549,1.368921,0.764089,0.413982,0.000000,1.645826,-0.247699,0,4.718525,1,chronique
6.600000,-0.001188,0.868472,0.000000,0.000718,0,0.000015,1.519911,0.000484,1.367475,0.752482,0.412171,0.000000,1.641954,-0.269577,0,4.812434,1,chronique
6.700000,-0.001829,0.869010,0.000000,0.000639,0,0.000015,1.501856,0.000432,1.363293,0.741251,0.418602,0.000000,1.641954,-0.225953,0,4.910157,1,chronique
6.800000,-0.001803,0.882722,0.000000,0.000576,0,0.000015,1.482114,0.000391,1.356829,0.730335,0.437357,0.000000,1.641954,-0.180548,0,4.916070,1,chronique
6.900000,-0.001237,0.904370,0.000000,0.000527,0,0.000015,1.460341,0.000359,1.348769,0.719784,0.462128,0.000000,1.641954,-0.197426,0,4.921997,1,chronique
7,-0.000508,0.926469,0.000000,0.000489,0,0.000015,1.436335,0.000334,1.339942,0.709541,0.480138,0.000000,1.641954,-0.217724,0,5.160386,1,chronique
7.100000,0.000106,0.943205,0.000000,0.000461,0,0.000015,1.410057,0.000316,1.331227,0.699550,0.477353,0.000000,1.638428,-0.240068,0,5.423042,1,chronique
7.200000,0.000466,0.952136,0.000000,0.000440,0,0.000016,1.382272,0.000303,1.323459,0.689832,0.478130,0.000000,1.638428,-0.262776,0,5.592529,1,chronique
7.300000,0.000539,0.953688,0.000000,0.000428,0,0.000016,1.353882,0.000296,1.317356,0.680387,0.490020,0.000000,1.638428,-0.277849,0,5.772951,1,stable
