t,confidence,p_state0,p_state1,p_state2,p_state3,p_state4,satisfaction_learned,curiosity_learned,boredom_learned,fatigue_learned
1.5,0.6309386471120504,0.7788520472160106,0.0044970266736769834,0.004497024665390458,0.004497024093408807,0.20765687735151298,0.7788520472160106,0.7788520472160106,0.7788520472160106,0.7788520472160106
1.6,0.6196207862607811,0.7675563853169275,0.004814652019293628,0.004814649862460231,0.00481464924817083,0.21799966355314773,0.7675563853169275,0.7675563853169275,0.7675563853169275,0.7675563853169275
1.7,0.6118346226779223,0.7593264807966079,0.005021052771038192,0.005021050514618561,0.005021049871965925,0.2256103660457693,0.7593264807966079,0.7593264807966079,0.7593264807966079,0.7593264807966079
1.8,0.6069264193743833,0.753517164274496,0.0051035225011852895,0.005103520196124671,0.005103519539618555,0.2311722734885755,0.753517164274496,0.753517164274496,0.753517164274496,0.753517164274496
1.9,0.612700872689832,0.7589142281965501,0.004855985254742609,0.004855983052982545,0.004855982425897541,0.2265178210698272,0.7589142281965501,0.7589142281965501,0.7589142281965501,0.7589142281965501
2.0,0.6133889815140537,0.7598429648148104,0.004857540548420179,0.004857538350175786,0.004857537724092083,0.22558441856250164,0.7598429648148104,0.7598429648148104,0.7598429648148104,0.7598429648148104
2.1,0.6215410124259952,0.7678882550558699,0.004582513586215793,0.004582511508505375,0.004582510916751048,0.21836420893265784,0.7678882550558699,0.7678882550558699,0.7678882550558699,0.7678882550558699
2.2,0.6342970526908266,0.7803046416000226,0.004196779754942506,0.004196777847939062,0.004196777304803921,0.20710502349229193,0.7803046416000226,0.7803046416000226,0.7803046416000226,0.7803046416000226
2.3,0.6438589499345331,0.7894684985039032,0.003941680968160195,0.003941679177258332,0.0039416786671901734,0.19870646268348813,0.7894684985039032,0.7894684985039032,0.7894684985039032,0.7894684985039032
2.4,0.6421778150707713,0.7886080535301845,0.0040714386995661525,0.004071436864181978,0.004071436341444778,0.19917763456462262,0.7886080535301845,0.7886080535301845,0.7886080535301845,0.7886080535301845
2.5,0.6524560337551927,0.797922659176664,0.003775321439421358,0.003775319733420929,0.003775319247533617,0.19075138040296014,0.797922659176664,0.797922659176664,0.797922659176664,0.797922659176664
2.6,0.6543912808458816,0.7997714876120486,0.0037363768008463467,0.0037363751147826097,0.0037363746345734842,0.18901938583774897,0.7997714876120486,0.7997714876120486,0.7997714876120486,0.7997714876120486
2.7,0.639248635203148,0.7872986732650558,0.004323118970626968,0.004323117047256493,0.004323116499459849,0.19973197421760105,0.7872986732650558,0.7872986732650558,0.7872986732650558,0.7872986732650558
2.8,0.6360648880957078,0.7843114361037307,0.004414740557402579,0.004414738593861311,0.004414738034623594,0.20244434671038186,0.7843114361037307,0.7843114361037307,0.7843114361037307,0.7843114361037307
2.9,0.6411283395786386,0.7889122112777024,0.004253218408660014,0.004253216514978569,0.004253215975637681,0.19832813782302128,0.7889122112777024,0.7889122112777024,0.7889122112777024,0.7889122112777024
3.0,0.661615698458177,0.8071651410358072,0.003669470104424709,0.003669468461337019,0.0036694679933679335,0.18182645240506304,0.8071651410358072,0.8071651410358072,0.8071651410358072,0.8071651410358072
3.1,0.6557143083165665,0.8016068184665598,0.0037815140419542753,0.0037815123442736945,0.0037815118607559656,0.1870486432864561,0.8016068184665598,0.8016068184665598,0.8016068184665598,0.8016068184665598
3.2,0.6371612560540207,0.785211637874847,0.004367456742793854,0.004367454791084091,0.004367454235216112,0.2016859963560588,0.785211637874847,0.785211637874847,0.785211637874847,0.785211637874847
