t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,effort_status
6.400000,-0.000651,0.899078,-0.000000,0.000941,0,0.000017,1.569464,0.000631,1.367475,0.748152,0.414031,0.000000,1.645826,-0.219171,0,4.561820,chronique
6.500000,-0.000525,0.880554,-0.000000,0.000817,0,0.000017,1.542506,0.000549,1.368921,0.736896,0.410723,0.000000,1.645826,-0.247699,0,4.593530,chronique
6.600000,-0.001187,0.868472,0.000000,0.000718,0,0.000017,1.519911,0.000484,1.367475,0.725701,0.408886,0.000000,1.641954,-0.269577,0,4.644491,chronique
6.700000,-0.001828,0.869010,0.000000,0.000639,0,0.000017,1.501856,0.000432,1.363293,0.714870,0.415516,0.000000,1.641954,-0.225953,0,4.696595,chronique
6.800000,-0.001802,0.882722,0.000000,0.000576,0,0.000017,1.482114,0.000391,1.356829,0.704342,0.435001,0.000000,1.641954,-0.180548,0,4.754587,chronique
6.900000,-0.001237,0.904370,0.000000,0.000527,0,0.000018,1.460341,0.000359,1.348769,0.694167,0.460238,0.000000,1.641954,-0.197426,0,4.814029,chronique
7,-0.000507,0.926469,0.000000,0.000489,0,0.000017,1.436335,0.000334,1.339942,0.684290,0.477754,0.000000,1.641954,-0.217724,0,5.037432,chronique
7.100000,0.000106,0.943205,0.000000,0.000461,0,0.000017,1.410057,0.000316,1.331227,0.674655,0.474389,0.000000,1.638428,-0.240068,0,5.282580,chronique
7.200000,0.000466,0.952136,0.000000,0.000440,0,0.000017,1.382272,0.000303,1.323459,0.665282,0.475167,0.000000,1.638428,-0.262776,0,5.452122,chronique
7.300000,0.000539,0.953688,0.000000,0.000428,0,0.000017,1.353882,0.000296,1.317356,0.656174,0.486506,0.000000,1.638428,-0.277849,0,5.632908,stable
7.400000,0.000419,0.949772,0.000000,0.000422,0,0.000017,1.327072,0.000293,1.313467,0.647315,0.487699,0.000000,1.638428,-0.283897,0,5.875003,stable
7.500000,0.000380,0.942661,-0.000000,0.000422,4,0.000017,1.309811,0.000295,1.312132,0.638689,0.486540,0.000000,1.638428,-0.268108,0,6.138843,stable
7.600000,0.000660,0.934548,-0.000000,0.000430,0,0.000018,1.336031,0.000301,1.313467,0.630284,0.496690,0.000000,1.634306,-0.172602,0,6.471880,stable
7.700000,0.000944,0.927558,-0.000000,0.000444,0,0.000018,1.368124,0.000313,1.317356,0.622108,0.513992,0.000000,1.634306,0.262197,0,6.843125,stable
7.800000,0.000744,0.923592,-0.000000,0.000466,0,0.000018,1.399236,0.000331,1.323459,0.614130,0.524235,0.000000,1.634306,0.320926,0,7.409154,stable
7.900000,0.000265,0.923588,-0.000000,0.000497,0,0.000018,1.428841,0.000354,1.331227,0.606367,0.522613,0.000000,1.634306,0.311126,0,8.077264,stable
8,-0.000855,0.926469,-0.000000,0.000538,0,0.000019,1.456501,0.000386,1.339942,0.598795,0.532128,0.000001,1.634306,0.296042,0,8.780702,stable
