t,S(t),gamma,gamma_mean(t),An_mean(t),effort(t)
15.200000,-0.055054,0.892915,0.892915,0.148911,0.833590
15.300000,0.029993,0.884117,0.884117,0.137943,0.273566
15.400000,0.138870,0.871911,0.871911,0.158164,0.654077
15.500000,-0.021533,0.856403,0.856403,0.112209,1.692070
15.600000,-0.124478,0.837731,0.837731,0.152933,0.931597
15.700000,-0.316898,0.816062,0.816062,0.154387,0.519124
15.800000,-0.126041,0.791587,0.791587,0.128777,1.238722
15.900000,0.074205,0.764525,0.764525,0.140958,0.949465
16,0.265219,0.735114,0.735114,0.152999,0.723458
16.100000,0.054561,0.703617,0.703617,0.129287,1.807148
16.200000,-0.153110,0.670312,0.670312,0.165469,1.247502
16.300000,-0.120093,0.635495,0.635495,0.136295,0.811560
16.400000,0.069373,0.599476,0.599476,0.149223,0.750224
16.500000,0.235890,0.562574,0.562574,0.174162,0.842332
16.600000,0.190226,0.525116,0.525116,0.150704,0.690633
16.700000,0.110290,0.487436,0.487436,0.144570,0.597852
16.800000,0.008795,0.449867,0.449867,0.161249,0.575902
16.900000,-0.099592,0.412743,0.412743,0.175652,0.522306
17,-0.103312,0.376393,0.376393,0.173645,0.524215
17.100000,-0.024915,0.341141,0.341141,0.170349,0.446752
17.200000,0.066975,0.307299,0.307299,0.172798,0.456215
17.300000,0.179605,0.275167,0.275167,0.178087,0.489575
17.400000,0.247096,0.245030,0.245030,0.181182,0.424016
17.500000,0.119712,0.217157,0.217157,0.176694,0.523311
17.600000,-0.174759,0.191795,0.191795,0.177115,0.449162
17.700000,-0.449953,0.169168,0.169168,0.180756,0.506470
17.800000,-0.353595,0.149477,0.149477,0.179796,0.455619
17.900000,0.093048,0.132898,0.132898,0.181930,0.415974
18,0.365543,0.119577,0.119577,0.183496,0.378605
18.100000,0.149459,0.109633,0.109633,0.182146,0.313061
18.200000,-0.180006,0.103154,0.103154,0.183745,0.228255
18.300000,-0.185649,0.100197,0.100197,0.182585,0.112600
18.400000,0.071230,0.100789,0.100789,0.183002,0.032416
18.500000,0.280216,0.104925,0.104925,0.184294,0.140516
18.600000,0.277995,0.112567,0.112567,0.183234,0.222493
18.700000,0.142078,0.123648,0.123648,0.182450,0.284938
18.800000,-0.004556,0.138069,0.138069,0.183104,0.336115
18.900000,-0.085676,0.155703,0.155703,0.183630,0.354783
19,-0.072571,0.176393,0.176393,0.182967,0.379512
19.100000,0.018909,0.199956,0.199956,0.181706,0.385271
19.200000,0.152795,0.226181,0.226181,0.181171,0.363225
19.300000,0.292556,0.254837,0.254837,0.181966,0.382773
19.400000,0.362444,0.285669,0.285669,0.182171,0.337492
19.500000,0.224518,0.318404,0.318404,0.178294,0.408787
19.600000,-0.125750,0.352750,0.352750,0.177478,0.331591
19.700000,-0.474359,0.388404,0.388404,0.179826,0.446636
19.800000,-0.406017,0.425047,0.425047,0.167651,0.481605
19.900000,0.049767,0.462357,0.462357,0.171723,0.325693
