t,S(t),C(t),effort(t),mean_abs_error,fluidity,entropy_S,gamma,En_mean(t),On_mean(t)
6.200000,-0.430395,0.707388,0.006379,0.093280,0.988201,0.606981,0.400000,-0.004971,-0.034432
6.250000,-0.452737,0.707388,0.006272,0.094147,0.988247,0.626615,0.400000,-0.007508,-0.036219
6.300000,-0.468105,0.707388,0.006085,0.093835,0.988287,0.625914,0.400000,-0.010063,-0.037448
6.350000,-0.475600,0.707388,0.005827,0.092282,0.988322,0.603297,0.400000,-0.012589,-0.038048
6.400000,-0.474495,0.707388,0.005504,0.094817,0.988351,0.561568,0.400000,-0.015038,-0.037960
6.450000,-0.464288,0.707388,0.005125,0.097191,0.988376,0.505507,0.400000,-0.017357,-0.037143
6.500000,-0.444753,0.707388,0.004697,0.098513,0.988397,0.440332,0.400000,-0.019494,-0.035580
6.550000,-0.415983,0.707388,0.004229,0.098816,0.988416,0.370905,0.400000,-0.021398,-0.033279
6.600000,-0.378432,0.707388,0.003726,0.098138,0.988435,0.301507,0.400000,-0.023020,-0.030275
6.650000,-0.332941,0.707388,0.003450,0.096517,0.988457,0.235939,0.400000,-0.024318,-0.026635
6.700000,-0.280749,0.707388,0.003928,0.093991,0.988483,0.177769,0.400000,-0.025257,-0.022460
6.750000,-0.223488,0.707388,0.004356,0.090590,0.988515,0.130534,0.400000,-0.025811,-0.017879
6.800000,-0.163154,0.707388,0.004733,0.086338,0.988552,0.097718,0.400000,-0.025967,-0.013052
6.850000,-0.102050,0.707388,0.005375,0.084287,0.988595,0.082248,0.400000,-0.025725,-0.008164
6.900000,-0.042712,0.707388,0.005916,0.087303,0.988638,0.085053,0.400000,-0.025099,-0.003417
6.950000,0.012197,0.707388,0.006333,0.089269,0.988679,0.101154,0.400000,-0.024120,0.000976
7,0.060009,0.707388,0.006606,0.090045,0.988713,0.122921,0.400000,-0.022835,0.004801
7.050000,0.098176,0.707388,0.006721,0.089523,0.988734,0.143620,0.400000,-0.021305,0.007854
7.100000,0.124414,0.707388,0.006669,0.092882,0.988740,0.158263,0.400000,-0.019605,0.009953
7.150000,0.136816,0.707388,0.006450,0.098146,0.988728,0.164106,0.400000,-0.017819,0.010945
7.200000,0.133957,0.707388,0.006075,0.101666,0.988699,0.160695,0.400000,-0.016043,0.010717
7.250000,0.114954,0.707388,0.005563,0.103322,0.988655,0.149636,0.400000,-0.014374,0.009196
7.300000,0.079494,0.707388,0.005112,0.103136,0.988603,0.134464,0.400000,-0.012911,0.006360
7.350000,0.027811,0.707388,0.004892,0.101202,0.988547,0.120909,0.400000,-0.011751,0.002225
7.400000,-0.039359,0.707388,0.004957,0.097672,0.988495,0.117758,0.400000,-0.010983,-0.003149
7.450000,-0.120864,0.707388,0.004897,0.092744,0.988451,0.134778,0.400000,-0.010689,-0.009669
7.500000,-0.215221,0.707388,0.004718,0.086644,0.988420,0.177110,0.400000,-0.010937,-0.017218
7.550000,-0.320717,0.707388,0.004433,0.079612,0.988404,0.245823,0.400000,-0.011783,-0.025657
7.600000,-0.435490,0.707388,0.004060,0.080022,0.988403,0.335603,0.400000,-0.013269,-0.034839
7.650000,-0.557599,0.707388,0.003622,0.081245,0.988414,0.432940,0.400000,-0.015424,-0.044608
7.700000,-0.685074,0.707388,0.003143,0.081174,0.988437,0.518360,0.400000,-0.018262,-0.054806
7.750000,-0.815942,0.707388,0.002846,0.079901,0.988468,0.574438,0.400000,-0.021783,-0.065275
7.800000,-0.948247,0.707388,0.003117,0.077557,0.988505,0.595884,0.400000,-0.025974,-0.075860
7.850000,-1.080054,0.707388,0.003321,0.075475,0.988543,0.593507,0.400000,-0.030813,-0.086404
7.900000,-1.209449,0.707388,0.003461,0.081606,0.988582,0.586850,0.400000,-0.036262,-0.096756
7.950000,-1.334541,0.707388,0.003537,0.086814,0.988619,0.587424,0.400000,-0.042277,-0.106763
8,-1.453459,0.707388,0.003551,0.091007,0.988650,0.590982,0.400000,-0.048800,-0.116277
8.050000,-1.564364,0.707388,0.003503,0.094104,0.988675,0.590049,0.400000,-0.055767,-0.125149
8.100000,-1.665450,0.707388,0.003396,0.096033,0.988692,0.581449,0.400000,-0.063103,-0.133236
8.150000,-1.754958,0.707388,0.003230,0.096736,0.988699,0.565110,0.400000,-0.070727,-0.140397
8.200000,-1.831190,0.707388,0.003011,0.096168,0.988695,0.542159,0.400000,-0.078548,-0.146495
8.250000,-1.892529,0.707388,0.002776,0.094294,0.988678,0.513970,0.400000,-0.086472,-0.151402
8.300000,-1.937461,0.707388,0.002490,0.091096,0.988649,0.481808,0.400000,-0.094397,-0.154997
8.350000,-1.964603,0.707388,0.002159,0.086569,0.988606,0.446735,0.400000,-0.102217,-0.157168
8.400000,-1.972741,0.707388,0.001786,0.083373,0.988550,0.409628,0.400000,-0.109821,-0.157819
8.450000,-1.960865,0.707388,0.001379,0.079549,0.988483,0.371218,0.400000,-0.117097,-0.156869
8.500000,-1.928227,0.707388,0.000960,0.074566,0.988404,0.332131,0.400000,-0.123933,-0.154258
8.550000,-1.874389,0.707388,0.000825,0.068498,0.988318,0.292926,0.400000,-0.130216,-0.149951
8.600000,-1.799281,0.707388,0.000699,0.061449,0.988228,0.254129,0.400000,-0.135836,-0.143942
8.650000,-1.703252,0.707388,0.000883,0.053549,0.988138,0.216259,0.400000,-0.140689,-0.136260
8.700000,-1.587107,0.707388,0.001370,0.046097,0.988052,0.179857,0.400000,-0.144678,-0.126969
8.750000,-1.452128,0.707388,0.001823,0.044101,0.987978,0.145515,0.400000,-0.147716,-0.116170
8.800000,-1.300060,0.707388,0.002227,0.049147,0.987918,0.113895,0.400000,-0.149728,-0.104005
8.850000,-1.133081,0.707388,0.002572,0.060010,0.987878,0.085758,0.400000,-0.150656,-0.090646
8.900000,-0.953736,0.707388,0.002847,0.074158,0.987857,0.061961,0.400000,-0.150457,-0.076299
8.950000,-0.764864,0.707388,0.003047,0.087917,0.987857,0.043437,0.400000,-0.149106,-0.061189
9,-0.569508,0.707388,0.003169,0.101041,0.987874,0.031122,0.400000,-0.146601,-0.045561
9.050000,-0.370827,0.707388,0.003212,0.113291,0.987904,0.025795,0.400000,-0.142957,-0.029666
9.100000,-0.172011,0.707388,0.003177,0.124448,0.987940,0.027665,0.400000,-0.138209,-0.013761
9.150000,0.023803,0.707388,0.003068,0.134316,0.987978,0.035079,0.400000,-0.132412,0.001904
