t,S(t),gamma,gamma_mean(t),An_mean(t),effort(t)
8,0.115305,0.879970,0.879970,0.165069,0.071879
8.100000,0.295057,0.861065,0.861065,0.165069,0.068407
8.200000,0.321253,0.844239,0.844239,0.165069,0.062539
8.300000,0.168478,0.829776,0.829776,0.165069,0.054351
8.400000,-0.105317,0.817922,0.817922,0.165069,0.044261
8.500000,-0.327033,0.808878,0.808878,0.165069,0.034174
8.600000,-0.321399,0.802797,0.802797,0.165069,0.024438
8.700000,-0.103523,0.799784,0.799784,0.165069,0.013451
8.800000,0.100720,0.799894,0.799894,0.165069,0.002275
8.900000,0.141179,0.803133,0.803133,0.165069,0.013100
9,0.068320,0.809453,0.809453,0.165069,0.023516
9.100000,0.009425,0.818760,0.818760,0.165069,0.035141
9.200000,0.025790,0.830910,0.830910,0.165069,0.045407
9.300000,0.105826,0.845713,0.845713,0.165069,0.053972
9.400000,0.184453,0.862940,0.862940,0.165069,0.060766
9.500000,0.152863,0.882320,0.882320,0.165069,0.065947
9.600000,-0.048507,0.903548,0.903548,0.165069,0.071165
9.700000,-0.327413,0.926292,0.926292,0.165069,0.074704
9.800000,-0.458861,0.950194,0.950194,0.165069,0.076378
9.900000,-0.317789,0.974878,0.974878,0.165069,0.076344
