t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t)
5.100000,-0.000006,0.943205,-0.000000,0.010788,0,0.000018,1.619750,0.007149,1.331227,0.000009,0.551188,0.036095,1.534253,0.340184,0,6.014201,1,transitoire,0.036095,-0.000000,0.000000
5.200000,-0.000006,0.952136,-0.000000,0.008971,0,0.000018,1.641014,0.005950,1.323459,0.000009,0.553336,0.034290,1.547056,0.281290,0,6.381742,1,transitoire,0.034290,-0.000000,0.000001
5.300000,-0.000005,0.953688,-0.000000,0.007397,0,0.000018,1.655133,0.004908,1.317356,0.000009,0.559060,0.032576,1.561550,0.212638,0,6.797129,1,transitoire,0.032576,-0.000000,0.000001
5.400000,-0.000004,0.949772,0.000000,0.006062,0,0.000019,1.662420,0.004023,1.313467,0.000008,0.564664,0.030947,1.576359,0.141184,0,6.953478,1,transitoire,0.030947,-0.000000,0.000001
5.500000,-0.000002,0.942661,0.000000,0.004952,0,0.000018,1.663614,0.003287,1.312132,0.000008,0.564203,0.029399,1.590296,0.072873,0,7.117189,1,transitoire,0.029399,-0.000000,0.000001
5.600000,-0.000001,0.934548,0.000000,0.004041,0,0.000018,1.665295,0.002682,1.313467,0.000008,0.561398,0.027929,1.596406,0.011943,0,7.258828,1,transitoire,0.027929,-0.000000,0.000002
5.700000,-0.000001,0.927558,0.000000,0.003300,0,0.000018,1.667999,0.002191,1.317356,0.000008,0.562173,0.026533,1.608570,0.016808,0,7.406219,1,transitoire,0.026533,-0.000000,0.000002
5.800000,-0.000000,0.923592,0.000000,0.002703,0,0.000018,1.666182,0.001796,1.323459,0.000008,0.567414,0.025206,1.619928,0.027040,0,7.740560,1,transitoire,0.025206,-0.000000,0.000003
5.900000,0.000000,0.923588,-0.000000,0.002224,0,0.000018,1.659926,0.001479,1.331227,0.000008,0.579007,0.023946,1.629348,-0.018170,0,8.106513,1,transitoire,0.023946,0.000000,0.000005
6,0.000000,0.926469,-0.000000,0.001841,0,0.000019,1.649356,0.001225,1.339942,0.000008,0.595083,0.022749,1.637875,-0.062558,0,8.135951,1,chronique,0.022749,0.000000,0.000006
