t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t),gamma_regime,G_arch_used
3.300000,-0.087872,0.993500,0.000125,0.165006,4,0.000111,1.988637,0.161997,1.332111,1.409897,0.993034,0.723562,0.088923,16.447711,1.879262,0,10.978354,0.698706,0.880091,chronique,0.093197,0.004274,0.451415,0.451415,0.384069,0.161997,1.332111,0,0
3.400000,-0.089850,0.992622,-0.001361,0.177691,4,0.000111,1.666633,0.171712,1.330633,1.472052,0.993022,0.674304,0.065935,16.447711,-4.882895,0,10.763837,0.699331,0.874756,chronique,0.088883,0.032763,0.559826,0.559826,0.374240,0.171712,1.330633,0,0
3.500000,-0.002423,0.991442,-0.002311,0.190026,4,0.000110,0.624553,0.182467,1.330277,1.398457,0.993036,0.646561,0.072945,16.447711,-3.220042,0,10.557542,0.699940,0.869744,chronique,0.087089,0.014144,0.593825,0.593825,0.363320,0.182467,1.330277,0,0
3.600000,-0.100979,0.990387,-0.001163,0.189754,3,0.000109,0.915928,0.185223,1.330920,2.372242,0.992841,0.634091,0.117333,14.759258,-10.420792,0,10.763837,0.699776,0.865027,chronique,0.083879,-0.021711,0.633398,0.633398,0.351335,0.185223,1.330920,0,0
3.700000,-0.060258,0.989817,-0.000322,0.160633,4,0.000109,2.670089,0.151683,1.332377,4.946927,0.992299,0.674246,0.097454,14.759258,2.913747,0,10.557542,0.700399,0.860561,transitoire,0.077929,0.011389,0.787640,0.787640,0.338318,0.151683,1.332377,0,0
3.800000,-0.069150,0.989924,0.000000,0.177375,4,0.000115,1.788693,0.167427,1.334823,3.094145,0.992693,0.629659,0.110573,14.759258,17.541609,0,10.422656,0.700653,0.856346,chronique,0.074954,0.049228,0.958800,0.958800,0.324303,0.167427,1.334823,0,0
3.900000,-0.056674,0.990647,0.002588,0.169773,2,0.000109,0.856802,0.163466,1.337545,1.882060,0.992940,0.607394,0.104107,14.759258,-8.813957,0,10.291173,0.700965,0.852354,chronique,0.075188,0.013230,1,1,0.309334,0.163466,1.337545,0,0
4,-0.126993,0.991674,0.003996,0.177501,3,0.000107,33.343688,0.165812,1.340139,1.745439,0.992967,0.585982,0.072104,14.759258,-9.318916,0,9.192405,0.701186,0.848569,transitoire,0.072499,0.000396,0.133710,0.133710,0.293459,0.165812,1.340139,0,0
4.100000,-0.043268,0.992522,-0.000501,0.177883,3,0.000106,2.307802,0.172785,1.342795,2.484074,0.992818,0.631027,0.057211,16.824195,324.868866,0,10.408352,0.701926,0.844975,transitoire,0.068906,0.011696,0.194467,0.194467,0.276734,0.172785,1.342795,0,0
4.200000,-0.038365,0.992728,-0.000755,0.181007,4,0.000111,2.031171,0.175543,1.345499,3.840975,0.992537,0.611281,0.052291,16.824195,-310.358865,0,9.375596,0.702039,0.841569,transitoire,0.066407,0.014117,0.140867,0.140867,0.259218,0.175543,1.345499,0,0
