t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
8.300000,-0.000280,0.916137,-0.000005,0.134748,4,0.000020,1.304454,0.129683,1.363295,0.009115,0.732632,0.007149,1.508674,-0.031773,0,7.773781,1,stable,0.006967,-0.000183,0.006060,0.001000,0.129683,1.363295
8.400000,-0.000138,0.899078,0.000022,0.134773,2,0.000020,1.297615,0.129704,1.367476,0.007814,0.742459,0.006648,1.508674,-0.038106,0,7.783759,1,stable,0.006604,-0.000044,0.008163,0.001000,0.129704,1.367476
8.500000,0.001388,0.880554,0.000011,0.134818,2,0.000020,1.289410,0.129742,1.368921,0.007672,0.767634,0.005667,1.508674,-0.068390,0,7.793763,1,stable,0.006270,0.000603,0.010987,0.001000,0.129742,1.368921
8.600000,0.001353,0.868472,-0.000007,0.134892,4,0.000021,1.286647,0.129803,1.367474,0.007613,0.750373,0.005222,1.502577,-0.082057,0,7.783759,1,stable,0.006005,0.000783,0.014774,0.001000,0.129803,1.367474
8.700000,0.000726,0.869010,-0.000006,0.134911,2,0.000020,1.286288,0.129821,1.363290,0.007534,0.753381,0.004867,1.502577,-0.027628,0,7.773781,1,stable,0.005768,0.000901,0.019840,0.001000,0.129821,1.363290
8.800000,0.000431,0.882722,-0.000038,0.134898,4,0.000020,1.285212,0.129812,1.356823,0.007459,0.724063,0.004127,1.502577,-0.003593,0,7.783759,1,stable,0.005553,0.001425,0.026597,0.001000,0.129812,1.356823
8.900000,0.000708,0.904370,-0.000075,0.134908,2,0.000019,1.278624,0.129823,1.348764,0.007358,0.726556,0.003453,1.502577,-0.010758,0,7.793763,1,stable,0.005390,0.001937,0.035571,0.001000,0.129823,1.348764
9,0.000206,0.926469,-0.000079,0.134946,4,0.000020,1.268932,0.129856,1.339939,0.007300,0.733817,0.003478,1.502577,-0.065879,0,8.281392,1,stable,0.005278,0.001864,0.047426,0.001000,0.129856,1.339939
9.100000,0.000136,0.943205,-0.000060,0.134974,4,0.000020,1.253965,0.129878,1.331225,0.007222,0.707712,0.004376,1.496885,-0.096921,0,8.834112,1,stable,0.005165,0.000995,0.062973,0.001000,0.129878,1.331225
9.200000,0.000074,0.952136,-0.000033,0.134933,1,0.000020,1.232927,0.129833,1.323459,0.007128,0.707943,0.007825,1.496885,-0.149672,0,9.056766,1,stable,0.004987,-0.000372,0.083173,0.001000,0.129833,1.323459
9.300000,-0.000038,0.953688,0.000012,0.134757,1,0.000020,1.205838,0.129657,1.317362,0.007048,0.701055,0.010649,1.496885,-0.210373,0,9.290932,1,stable,0.004707,-0.001552,0.109097,0.001000,0.129657,1.317362
9.400000,-0.000438,0.949772,0.000104,0.134530,1,0.000020,1.168794,0.129439,1.313484,0.006973,0.673835,0.007941,1.496885,-0.270896,0,9.387670,1,stable,0.004346,-0.002192,0.141851,0.001000,0.129439,1.313484
9.500000,-0.000337,0.942661,0.000242,0.134727,4,0.000020,1.120910,0.129624,1.312156,0.006904,0.664430,0.011251,1.496885,-0.370441,0,9.486444,1,stable,0.003952,-0.001609,0.182426,0.001000,0.129624,1.312156
